district,name
1,acord
2,ballentyne ditch co
3,big bend
4,bilbrey ditch co
5,black canyon irrigation district - boise
6,boise city canal co
7,boise front streams
8,boise kuna penitentiary
9,bowman and swisher
10,canyon county water co
11,canyon ditch co
12,canyon hill irrigation district
13,colwell et al
14,discovery park
15,dixie slough drains
16,dry creek hidden springs avimor
17,eagle island water users
18,emmett id north side
19,emmett id south side
20,emmett valley other
21,enterprise ditch co
22,eureka no2
23,eureka water co
24,farmers coop icl
25,farmers coop siebenberg
26,farmers union
27,golden gate id
28,groundwater
29,wilder irrigation district
30,haas
31,island highline
32,last chance ditch co
33,letha stewart
34,little pioneer
35,little willow creek
36,lower boise valley drains
37,lower centerpoint
38,lower payette ditch co
39,lower payette other
40,
41,mammon
42,mcconnel island
43,middleton dd2
44,
46,nesbitt mcfarland coop
47,new dry creek ditch co
48,
49,new union
50,black canyon irrigation district - payette
51,noble ditch co
52,parma
53,pioneer franklin mason
54,pleasant valley
55,reed ditch co
56,riverside dixie
57,s boise
58,sandy point
59,settlers
60,shakespeare
61,simplot
62,snake adrian to nyssa
63,snake blw nyssa
64,snake murphy to adrian
65,surprise valley
66,
67,tenmile creek
68,thurman
69,upper centerpoint
70,upper indian creek
71,walters ferry drains
72,washoe
73,williams park
74,willow creek
75,nampa meridian irrigation district
76,boise project district 2
77,boise project district 3
78,boise project district 4
79,boise project district 5
80,groundwater n payette margin
81,groundwater hills 95 to 84
82,groundwater hills 84 to 55
83,groundwater boise foothills
84,groundwater lowell south
85,groundwater lowell south southeast
86,groundwater southeast north of indian creek
87,groundwater southeast south of indian creek
